Flavor,Comparison,Effect_Size_Diff,CI_Lower,CI_Upper,P_Value
TrajNorm_Standardization,mt_minus_com,0.790802466766081,0.463473697463513,1.20945791617679,0
TrajNorm_Standardization,mt_minus_tot_dist,0.371446033032602,-0.253353482209767,0.870570259827951,0.208
TrajNorm_Standardization,mt_minus_auc,0.533040353465659,0.0746318013041911,0.99022596504129,0.0276
TrajNorm_Standardization,max_vel_minus_mt,NaN,NaN,NaN,0
TrajNorm_Standardization,mt_minus_ra,0.566655723385433,0.148483999964714,1.007869337753,0.0108
TrajNorm_Standardization,mt_minus_kb_rt,0.0660692448136622,-0.518060632539589,0.588978240644505,0.8168
TrajNorm_Standardization,mt_minus_head_angle,0.848044781653382,0.478270037756731,1.30362432798053,0
TrajNorm_Standardization,mt_minus_iep,0.818718232032558,0.449786565096869,1.27373315750005,0
TrajNorm_Standardization,mt_minus_traj,0.943940459541796,0.561535457649433,1.40720596053891,0
TrajNorm_Standardization,mt_minus_x_std,0.892934227360305,0.53783803269403,1.33753465901875,0
TrajNorm_Standardization,vel_minus_mt,NaN,NaN,NaN,0
TrajNorm_Standardization,mad_minus_com,0.548145888906475,0.185460081798164,1.22408964957757,0.001
TrajNorm_Standardization,mad_minus_tot_dist,0.128789455172996,-0.216131712353748,0.706590025330738,0.4488
TrajNorm_Standardization,mad_minus_auc,0.290383775606053,-0.000975933721637401,0.879543741590736,0.0508
TrajNorm_Standardization,max_vel_minus_mad,NaN,NaN,NaN,0
TrajNorm_Standardization,mad_minus_ra,0.323999145525827,0.00601546814587983,0.945429251231169,0.046
TrajNorm_Standardization,kb_rt_minus_mad,0.176587333045944,-0.769413143053745,0.980223408244582,0.7412
TrajNorm_Standardization,mad_minus_head_angle,0.605388203793776,0.210008475537938,1.33916391890206,0.0026
TrajNorm_Standardization,mad_minus_iep,0.576061654172952,0.188169249200126,1.305882827174,0.0032
TrajNorm_Standardization,mad_minus_traj,0.70128388168219,0.284892994028457,1.44663575076861,0.0006
TrajNorm_Standardization,mad_minus_x_std,0.650277649500699,0.171222026209254,1.48504904037993,0.0064
TrajNorm_Standardization,vel_minus_mad,NaN,NaN,NaN,0
TrajNorm_Standardization,tot_dist_minus_com,0.419356433733479,0.108544920705346,0.922328969445975,0.0066
TrajNorm_Standardization,auc_minus_com,0.257762113300422,0.0201651534694234,0.584302227238944,0.0308
TrajNorm_Standardization,max_vel_minus_com,NaN,NaN,NaN,0
TrajNorm_Standardization,ra_minus_com,0.224146743380649,-0.00721890167664391,0.513859556663663,0.0564
TrajNorm_Standardization,kb_rt_minus_com,0.724733221952419,0.301280996532306,1.28459686843063,0.001
TrajNorm_Standardization,com_minus_head_angle,0.0572423148873011,-0.241297210530234,0.344459677252901,0.6932
TrajNorm_Standardization,com_minus_iep,0.0279157652664763,-0.260503171523899,0.307094269113522,0.8336
TrajNorm_Standardization,com_minus_traj,0.153137992775715,-0.16081176885092,0.474435482031445,0.3354
TrajNorm_Standardization,com_minus_x_std,0.102131760594224,-0.204072305180754,0.409131042077028,0.5442
TrajNorm_Standardization,vel_minus_com,NaN,NaN,NaN,0
TrajNorm_Standardization,tot_dist_minus_auc,0.161594320433058,-0.0335672203594452,0.449910732748567,0.1012
TrajNorm_Standardization,max_vel_minus_tot_dist,NaN,NaN,NaN,0
TrajNorm_Standardization,tot_dist_minus_ra,0.195209690352831,-0.0117306938205188,0.513679762842537,0.065
TrajNorm_Standardization,kb_rt_minus_tot_dist,0.30537678821894,-0.463942795290645,1.03159138770341,0.3936
TrajNorm_Standardization,tot_dist_minus_head_angle,0.47659874862078,0.180685888642138,0.970675237259813,0.0026
TrajNorm_Standardization,tot_dist_minus_iep,0.447272198999956,0.160104400143441,0.9391051941927,0.0028
TrajNorm_Standardization,tot_dist_minus_traj,0.572494426509194,0.227191963741193,1.12244708480255,0
TrajNorm_Standardization,tot_dist_minus_x_std,0.521488194327703,0.114148311592373,1.10864867940288,0.0112
TrajNorm_Standardization,vel_minus_tot_dist,NaN,NaN,NaN,0
TrajNorm_Standardization,max_vel_minus_auc,NaN,NaN,NaN,0
TrajNorm_Standardization,auc_minus_ra,0.0336153699197732,-0.0389763649877539,0.12198446101218,0.3448
TrajNorm_Standardization,kb_rt_minus_auc,0.466971108651997,-0.148843790941424,1.13369889623271,0.1278
TrajNorm_Standardization,auc_minus_head_angle,0.315004428187723,0.108465420614264,0.625270980485486,0.0014
TrajNorm_Standardization,auc_minus_iep,0.285677878566898,0.0864111170531002,0.590771241748526,0.003
TrajNorm_Standardization,auc_minus_traj,0.410900106076136,0.150781441137142,0.781855931905393,0.0016
TrajNorm_Standardization,auc_minus_x_std,0.359893873894646,0.0434862137540066,0.781974421301966,0.0232
TrajNorm_Standardization,vel_minus_auc,NaN,NaN,NaN,0
TrajNorm_Standardization,ra_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_Standardization,kb_rt_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_Standardization,head_angle_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_Standardization,iep_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_Standardization,traj_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_Standardization,x_std_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_Standardization,vel_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_Standardization,kb_rt_minus_ra,0.500586478571771,-0.0720678199047269,1.14875196577514,0.0872
TrajNorm_Standardization,ra_minus_head_angle,0.28138905826795,0.07594488813178,0.569665114243497,0.0058
TrajNorm_Standardization,ra_minus_iep,0.252062508647125,0.0511282706980389,0.539030828515712,0.0146
TrajNorm_Standardization,ra_minus_traj,0.377284736156363,0.116031094570979,0.742971208248322,0.0046
TrajNorm_Standardization,ra_minus_x_std,0.326278503974873,0.0368155090645001,0.704473617125954,0.0246
TrajNorm_Standardization,vel_minus_ra,NaN,NaN,NaN,0
TrajNorm_Standardization,kb_rt_minus_head_angle,0.78197553683972,0.341038383602768,1.38392894843746,0.0004
TrajNorm_Standardization,kb_rt_minus_iep,0.752648987218896,0.315639880219932,1.35383379133603,0.0006
TrajNorm_Standardization,kb_rt_minus_traj,0.877871214728134,0.4350393131388,1.47821301820743,0
TrajNorm_Standardization,kb_rt_minus_x_std,0.826864982546643,0.411183320903365,1.39736811912165,0
TrajNorm_Standardization,vel_minus_kb_rt,NaN,NaN,NaN,0
TrajNorm_Standardization,iep_minus_head_angle,0.0293265496208248,0.0047758563522512,0.0571231468883701,0.0222
TrajNorm_Standardization,head_angle_minus_traj,0.0958956778884135,-0.0434738611928115,0.252316043529844,0.1724
TrajNorm_Standardization,head_angle_minus_x_std,0.0448894457069228,-0.245736337676019,0.338749223349175,0.7946
TrajNorm_Standardization,vel_minus_head_angle,NaN,NaN,NaN,0
TrajNorm_Standardization,iep_minus_traj,0.125222227509238,-0.0155945340969395,0.287972683497214,0.0804
TrajNorm_Standardization,iep_minus_x_std,0.0742159953277476,-0.223800843770574,0.368905452415153,0.6444
TrajNorm_Standardization,vel_minus_iep,NaN,NaN,NaN,0
TrajNorm_Standardization,x_std_minus_traj,0.0510062321814908,-0.250380858283273,0.357166598127625,0.7024
TrajNorm_Standardization,vel_minus_traj,NaN,NaN,NaN,0
TrajNorm_Standardization,vel_minus_x_std,NaN,NaN,NaN,0
