Flavor,Effect,Metric_Used,Has_Outliers,Mean_Diff,SD_Diff,Reported_Effect_Size,Cohens_dz,Dependent_AKP,CI_Lower,CI_Upper
TrajNorm_Standardization,react,Dependent_AKP,1,-0.0503327952795692,0.191442338621006,0.30188009285732,0.262913604389319,0.30188009285732,0.0203546706968075,0.916537130922341
TrajNorm_Standardization,mt,Cohen_dz,0,-0.26229702002856,0.209384305558031,1.25270621085716,1.25270621085716,1.06161616132375,0.988599392160532,1.65467707861373
TrajNorm_Standardization,mad,Dependent_AKP,1,-0.22711604368866,0.262360564359411,1.01004963299756,0.865663802192203,1.01004963299756,0.518184426142271,1.86152285970507
TrajNorm_Standardization,com,Cohen_dz,0,-0.223543188931166,0.483960547605101,0.461903744091081,0.461903744091081,0.333953016240208,0.145835363569668,0.816342668335857
TrajNorm_Standardization,tot_dist,Cohen_dz,0,-0.249294689188828,0.282884323451702,0.88126017782456,0.88126017782456,0.979724282173846,0.485834780811235,1.52430065010566
TrajNorm_Standardization,auc,Cohen_dz,0,-0.216085360663081,0.300257902252447,0.719665857391503,0.719665857391503,0.735417114307845,0.357223799747319,1.21875466961399
TrajNorm_Standardization,max_vel,Cohen_dz,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TrajNorm_Standardization,ra,Cohen_dz,0,0.346752244673617,0.505432546154857,0.686050487471729,0.686050487471729,0.607291839031737,0.333777549441171,1.1465854852506
TrajNorm_Standardization,kb_rt,Cohen_dz,0,-0.273573781995668,0.230545474162853,1.1866369660435,1.1866369660435,1.09929315121662,0.851597908783163,1.73250864731714
TrajNorm_Standardization,head_angle,Cohen_dz,0,0.58043735126397,1.43017767016163,0.40466142920378,0.40466142920378,0.40466142920378,0.085927143703444,0.748755597560712
TrajNorm_Standardization,iep,Cohen_dz,0,0.0103527822997634,0.0236774969951568,0.433987978824604,0.433987978824604,0.433987978824604,0.114264320693084,0.778897430861027
TrajNorm_Standardization,traj,Cohen_dz,0,0.000871709306373136,0.00275486692541643,0.308765751315366,0.308765751315366,0.308765751315366,0.0282171609857019,0.639812401094342
TrajNorm_Standardization,x_std,Cohen_dz,0,0.00208846880413778,0.00435839441554408,0.359771983496857,0.359771983496857,0.359771983496857,0.110437454597244,0.624071445419135
TrajNorm_Standardization,vel,Cohen_dz,0,0,0,NaN,NaN,NaN,NaN,NaN
